SETTLEMENTDATE,REGIONID,TOTALDEMAND
2026-03-15 00:00:00,VIC1,4736
2026-03-15 00:30:00,VIC1,4547
2026-03-15 01:00:00,VIC1,4418
2026-03-15 01:30:00,VIC1,4357
2026-03-15 02:00:00,VIC1,4209
2026-03-15 02:30:00,VIC1,4138
2026-03-15 03:00:00,VIC1,4113
2026-03-15 03:30:00,VIC1,4057
2026-03-15 04:00:00,VIC1,4050
2026-03-15 04:30:00,VIC1,4060
2026-03-15 05:00:00,VIC1,4074
2026-03-15 05:30:00,VIC1,4155
2026-03-15 06:00:00,VIC1,4241
2026-03-15 06:30:00,VIC1,4391
2026-03-15 07:00:00,VIC1,4399
2026-03-15 07:30:00,VIC1,4224
2026-03-15 08:00:00,VIC1,3974
2026-03-15 08:30:00,VIC1,3784
2026-03-15 09:00:00,VIC1,3515
2026-03-15 09:30:00,VIC1,3338
2026-03-15 10:00:00,VIC1,3080
2026-03-15 10:30:00,VIC1,2966
2026-03-15 11:00:00,VIC1,2860
2026-03-15 11:30:00,VIC1,2676
2026-03-15 12:00:00,VIC1,2540
2026-03-15 12:30:00,VIC1,2534
2026-03-15 13:00:00,VIC1,2632
2026-03-15 13:30:00,VIC1,2775
2026-03-15 14:00:00,VIC1,3033
2026-03-15 14:30:00,VIC1,3141
2026-03-15 15:00:00,VIC1,3582
2026-03-15 15:30:00,VIC1,4121
2026-03-15 16:00:00,VIC1,4769
2026-03-15 16:30:00,VIC1,5273
2026-03-15 17:00:00,VIC1,5557
2026-03-15 17:30:00,VIC1,5745
2026-03-15 18:00:00,VIC1,5833
2026-03-15 18:30:00,VIC1,5787
2026-03-15 19:00:00,VIC1,5735
2026-03-15 19:30:00,VIC1,5693
2026-03-15 20:00:00,VIC1,5500
2026-03-15 20:30:00,VIC1,5335
2026-03-15 21:00:00,VIC1,5146
2026-03-15 21:30:00,VIC1,4975
2026-03-15 22:00:00,VIC1,4852
2026-03-15 22:30:00,VIC1,4737
2026-03-15 23:00:00,VIC1,4652
2026-03-15 23:30:00,VIC1,4774
2026-03-16 00:00:00,VIC1,4764
2026-03-16 00:30:00,VIC1,4617
2026-03-16 01:00:00,VIC1,4542
2026-03-16 01:30:00,VIC1,4500
2026-03-16 02:00:00,VIC1,4400
2026-03-16 02:30:00,VIC1,4317
2026-03-16 03:00:00,VIC1,4316
2026-03-16 03:30:00,VIC1,4306
2026-03-16 04:00:00,VIC1,4337
2026-03-16 04:30:00,VIC1,4462
2026-03-16 05:00:00,VIC1,4631
2026-03-16 05:30:00,VIC1,4924
2026-03-16 06:00:00,VIC1,5219
2026-03-16 06:30:00,VIC1,5628
2026-03-16 07:00:00,VIC1,5837
2026-03-16 07:30:00,VIC1,5837
2026-03-16 08:00:00,VIC1,5852
2026-03-16 08:30:00,VIC1,5886
2026-03-16 09:00:00,VIC1,5813
2026-03-16 09:30:00,VIC1,5796
2026-03-16 10:00:00,VIC1,5685
2026-03-16 10:30:00,VIC1,5714
2026-03-16 11:00:00,VIC1,5752
2026-03-16 11:30:00,VIC1,5722
2026-03-16 12:00:00,VIC1,5606
2026-03-16 12:30:00,VIC1,5591
2026-03-16 13:00:00,VIC1,5537
2026-03-16 13:30:00,VIC1,5335
2026-03-16 14:00:00,VIC1,5301
2026-03-16 14:30:00,VIC1,5407
2026-03-16 15:00:00,VIC1,5545
2026-03-16 15:30:00,VIC1,5681
2026-03-16 16:00:00,VIC1,5771
2026-03-16 16:30:00,VIC1,5982
2026-03-16 17:00:00,VIC1,6148
2026-03-16 17:30:00,VIC1,6202
2026-03-16 18:00:00,VIC1,6178
2026-03-16 18:30:00,VIC1,6145
2026-03-16 19:00:00,VIC1,6081
2026-03-16 19:30:00,VIC1,5954
2026-03-16 20:00:00,VIC1,5819
2026-03-16 20:30:00,VIC1,5639
2026-03-16 21:00:00,VIC1,5452
2026-03-16 21:30:00,VIC1,5283
2026-03-16 22:00:00,VIC1,5088
2026-03-16 22:30:00,VIC1,4942
2026-03-16 23:00:00,VIC1,4878
2026-03-16 23:30:00,VIC1,4974
