0,1,2,3,4,5,6,7,8,9
D,ROOFTOP,ACTUAL,2,2026/03/11 04:00:00,SA1,0,0.6,SATELLITE,2026/03/11 04:20:20
D,ROOFTOP,ACTUAL,2,2026/03/11 04:00:00,TAS1,0,0.6,SATELLITE,2026/03/11 04:20:20
D,ROOFTOP,ACTUAL,2,2026/03/11 04:00:00,VIC1,0,0.6,SATELLITE,2026/03/11 04:20:20
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/14,08:30:08,0000000507803003,DEMAND,0000000507803001
D,ROOFTOP,ACTUAL,2,2026/03/14 08:00:00,NSW1,2052.384,0.6,SATELLITE,2026/03/14 08:20:20
D,ROOFTOP,ACTUAL,2,2026/03/14 08:00:00,QLD1,1356.081,0.6,SATELLITE,2026/03/14 08:20:20
D,ROOFTOP,ACTUAL,2,2026/03/14 08:00:00,SA1,411.147,0.6,SATELLITE,2026/03/14 08:20:20
D,ROOFTOP,ACTUAL,2,2026/03/14 08:00:00,TAS1,86.544,0.6,SATELLITE,2026/03/14 08:20:20
D,ROOFTOP,ACTUAL,2,2026/03/14 08:00:00,VIC1,1001.99,0.6,SATELLITE,2026/03/14 08:20:20
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/10,02:30:23,0000000507131137,DEMAND,0000000507131135
D,ROOFTOP,ACTUAL,2,2026/03/10 02:00:00,NSW1,0,0.6,SATELLITE,2026/03/10 02:20:19
D,ROOFTOP,ACTUAL,2,2026/03/10 02:00:00,QLD1,0,0.6,SATELLITE,2026/03/10 02:20:19
D,ROOFTOP,ACTUAL,2,2026/03/10 02:00:00,SA1,0,0.6,SATELLITE,2026/03/10 02:20:19
D,ROOFTOP,ACTUAL,2,2026/03/10 02:00:00,TAS1,0,0.6,SATELLITE,2026/03/10 02:20:19
D,ROOFTOP,ACTUAL,2,2026/03/10 02:00:00,VIC1,0,0.6,SATELLITE,2026/03/10 02:20:19
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/13,10:30:17,0000000507652717,DEMAND,0000000507652715
D,ROOFTOP,ACTUAL,2,2026/03/13 10:00:00,NSW1,2659.824,0.6,SATELLITE,2026/03/13 10:20:20
D,ROOFTOP,ACTUAL,2,2026/03/13 10:00:00,QLD1,3688.033,0.6,SATELLITE,2026/03/13 10:20:20
D,ROOFTOP,ACTUAL,2,2026/03/13 10:00:00,SA1,1242.428,0.6,SATELLITE,2026/03/13 10:20:20
D,ROOFTOP,ACTUAL,2,2026/03/13 10:00:00,TAS1,170.334,0.6,SATELLITE,2026/03/13 10:20:20
D,ROOFTOP,ACTUAL,2,2026/03/13 10:00:00,VIC1,1958.078,0.6,SATELLITE,2026/03/13 10:20:20
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/12,11:30:17,0000000507503668,DEMAND,0000000507503666
D,ROOFTOP,ACTUAL,2,2026/03/12 11:00:00,NSW1,5245.484,0.6,SATELLITE,2026/03/12 11:20:18
D,ROOFTOP,ACTUAL,2,2026/03/12 11:00:00,QLD1,4678.703,0.6,SATELLITE,2026/03/12 11:20:18
D,ROOFTOP,ACTUAL,2,2026/03/12 11:00:00,SA1,829.044,0.6,SATELLITE,2026/03/12 11:20:19
D,ROOFTOP,ACTUAL,2,2026/03/12 11:00:00,TAS1,153.035,0.6,SATELLITE,2026/03/12 11:20:19
D,ROOFTOP,ACTUAL,2,2026/03/12 11:00:00,VIC1,1517.467,0.6,SATELLITE,2026/03/12 11:20:19
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/05,22:00:14,0000000506497525,DEMAND,0000000506497523
D,ROOFTOP,ACTUAL,2,2026/03/05 21:30:00,NSW1,0,0.6,SATELLITE,2026/03/05 21:50:19
D,ROOFTOP,ACTUAL,2,2026/03/05 21:30:00,QLD1,0,0.6,SATELLITE,2026/03/05 21:50:19
D,ROOFTOP,ACTUAL,2,2026/03/05 21:30:00,SA1,0,0.6,SATELLITE,2026/03/05 21:50:19
D,ROOFTOP,ACTUAL,2,2026/03/05 21:30:00,TAS1,0,0.6,SATELLITE,2026/03/05 21:50:19
D,ROOFTOP,ACTUAL,2,2026/03/05 21:30:00,VIC1,0,0.6,SATELLITE,2026/03/05 21:50:19
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/17,15:30:18,0000000508317769,DEMAND,0000000508317767
D,ROOFTOP,ACTUAL,2,2026/03/17 15:00:00,NSW1,2043.026,0.6,SATELLITE,2026/03/17 15:20:18
D,ROOFTOP,ACTUAL,2,2026/03/17 15:00:00,QLD1,3140.746,0.6,SATELLITE,2026/03/17 15:20:18
D,ROOFTOP,ACTUAL,2,2026/03/17 15:00:00,SA1,763.516,0.6,SATELLITE,2026/03/17 15:20:18
D,ROOFTOP,ACTUAL,2,2026/03/17 15:00:00,TAS1,155.424,0.6,SATELLITE,2026/03/17 15:20:18
D,ROOFTOP,ACTUAL,2,2026/03/17 15:00:00,VIC1,1195.534,0.6,SATELLITE,2026/03/17 15:20:18
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/12,14:00:09,0000000507522074,DEMAND,0000000507522072
D,ROOFTOP,ACTUAL,2,2026/03/12 13:30:00,NSW1,5004.85,0.6,SATELLITE,2026/03/12 13:50:20
D,ROOFTOP,ACTUAL,2,2026/03/12 13:30:00,QLD1,4465.739,0.6,SATELLITE,2026/03/12 13:50:20
D,ROOFTOP,ACTUAL,2,2026/03/12 13:30:00,SA1,1279.35,0.6,SATELLITE,2026/03/12 13:50:20
D,ROOFTOP,ACTUAL,2,2026/03/12 13:30:00,TAS1,163.665,0.6,SATELLITE,2026/03/12 13:50:20
D,ROOFTOP,ACTUAL,2,2026/03/12 13:30:00,VIC1,1624.516,0.6,SATELLITE,2026/03/12 13:50:20
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/12,07:30:16,0000000507473377,DEMAND,0000000507473375
D,ROOFTOP,ACTUAL,2,2026/03/12 07:00:00,NSW1,878.825,0.6,SATELLITE,2026/03/12 07:20:18
D,ROOFTOP,ACTUAL,2,2026/03/12 07:00:00,QLD1,890.345,0.6,SATELLITE,2026/03/12 07:20:18
