SETTLEMENTDATE,REGIONID,RRP
2026-03-10 04:10:00,VIC1,94.0495
2026-03-10 04:15:00,VIC1,83.88958
2026-03-10 04:20:00,VIC1,78.99123
2026-03-10 04:25:00,VIC1,84.16424
2026-03-10 04:30:00,VIC1,93.83172
2026-03-10 04:35:00,VIC1,75.05543
2026-03-10 04:40:00,VIC1,77.75016
2026-03-10 04:45:00,VIC1,94.92102
2026-03-10 04:50:00,VIC1,75.88278
2026-03-10 04:55:00,VIC1,92.69715
2026-03-10 05:00:00,VIC1,93.8646
2026-03-10 05:05:00,VIC1,75.95586
2026-03-10 05:10:00,VIC1,86.68
2026-03-10 05:15:00,VIC1,94.33084
2026-03-10 05:20:00,VIC1,89.32
2026-03-10 05:25:00,VIC1,90.66
2026-03-10 05:30:00,VIC1,93.06878
2026-03-10 05:35:00,VIC1,94.58799
2026-03-10 05:40:00,VIC1,99.67
2026-03-10 05:45:00,VIC1,96.05
2026-03-10 05:50:00,VIC1,103.74236
2026-03-10 05:55:00,VIC1,106.83
2026-03-10 06:00:00,VIC1,105.89
2026-03-10 06:05:00,VIC1,122.2675
2026-03-10 06:10:00,VIC1,130.86844
2026-03-10 06:15:00,VIC1,105.0
2026-03-10 06:20:00,VIC1,106.21048
2026-03-10 06:25:00,VIC1,125.44
2026-03-10 06:30:00,VIC1,100.0
2026-03-10 06:35:00,VIC1,101.27802
2026-03-10 06:40:00,VIC1,99.67
2026-03-10 06:45:00,VIC1,131.31406
2026-03-10 06:50:00,VIC1,115.67
2026-03-10 06:55:00,VIC1,96.1756
2026-03-10 07:00:00,VIC1,107.27679
2026-03-10 07:05:00,VIC1,54.69
2026-03-10 07:10:00,VIC1,38.18823
2026-03-10 07:15:00,VIC1,31.18672
2026-03-10 07:20:00,VIC1,37.9
2026-03-10 07:25:00,VIC1,37.9
2026-03-10 07:30:00,VIC1,27.87711
2026-03-10 07:35:00,VIC1,36.2324
2026-03-10 07:40:00,VIC1,24.42543
2026-03-10 07:45:00,VIC1,35.42682
2026-03-10 07:50:00,VIC1,35.9399
2026-03-10 07:55:00,VIC1,22.00798
2026-03-10 08:00:00,VIC1,21.71441
2026-03-10 08:05:00,VIC1,21.04404
2026-03-10 08:10:00,VIC1,12.99755
2026-03-10 08:15:00,VIC1,10.04
2026-03-10 08:20:00,VIC1,19.18
2026-03-10 08:25:00,VIC1,10.04
2026-03-10 08:30:00,VIC1,0.75192
2026-03-10 08:35:00,VIC1,10.04
2026-03-10 08:40:00,VIC1,10.04
2026-03-10 08:45:00,VIC1,10.04
2026-03-10 08:50:00,VIC1,1.88
2026-03-10 08:55:00,VIC1,4.87
2026-03-10 09:00:00,VIC1,0.0
2026-03-10 09:05:00,VIC1,0.0
2026-03-10 09:10:00,VIC1,10.04
2026-03-10 09:15:00,VIC1,-1.26874
2026-03-10 09:20:00,VIC1,-1.48383
2026-03-10 09:25:00,VIC1,-1.27581
2026-03-10 09:30:00,VIC1,-0.05997
2026-03-10 09:35:00,VIC1,-1.32049
2026-03-10 09:40:00,VIC1,-4.25
2026-03-10 09:45:00,VIC1,-3.49
2026-03-10 09:50:00,VIC1,0.0
2026-03-10 09:55:00,VIC1,0.0
2026-03-10 10:00:00,VIC1,-4.75
2026-03-10 10:05:00,VIC1,0.01
