SETTLEMENTDATE,REGIONID,PV_MW
2026-03-14 15:30:00,VIC1,2579.006
2026-03-14 16:00:00,VIC1,2160.837
2026-03-14 16:30:00,VIC1,1700.316
2026-03-14 17:00:00,VIC1,1225.393
2026-03-14 17:30:00,VIC1,738.778
2026-03-14 18:00:00,VIC1,352.361
2026-03-14 18:30:00,VIC1,88.069
2026-03-14 19:00:00,VIC1,2.031
2026-03-14 19:30:00,VIC1,0.0
2026-03-14 20:00:00,VIC1,0.0
2026-03-14 20:30:00,VIC1,0.0
2026-03-14 21:00:00,VIC1,0.0
2026-03-14 21:30:00,VIC1,0.0
2026-03-14 22:00:00,VIC1,0.0
2026-03-14 22:30:00,VIC1,0.0
2026-03-14 23:00:00,VIC1,0.0
2026-03-14 23:30:00,VIC1,0.0
2026-03-15 00:00:00,VIC1,0.0
2026-03-15 00:30:00,VIC1,0.0
2026-03-15 01:00:00,VIC1,0.0
2026-03-15 01:30:00,VIC1,0.0
2026-03-15 02:00:00,VIC1,0.0
2026-03-15 02:30:00,VIC1,0.0
2026-03-15 03:00:00,VIC1,0.0
2026-03-15 03:30:00,VIC1,0.0
2026-03-15 04:00:00,VIC1,0.0
2026-03-15 04:30:00,VIC1,0.0
2026-03-15 05:00:00,VIC1,0.0
2026-03-15 05:30:00,VIC1,0.0
2026-03-15 06:00:00,VIC1,0.0
2026-03-15 06:30:00,VIC1,38.336
2026-03-15 07:00:00,VIC1,237.177
2026-03-15 07:30:00,VIC1,652.407
2026-03-15 08:00:00,VIC1,1089.897
2026-03-15 08:30:00,VIC1,1558.342
2026-03-15 09:00:00,VIC1,1969.847
2026-03-15 09:30:00,VIC1,2303.075
2026-03-15 10:00:00,VIC1,2638.273
2026-03-15 10:30:00,VIC1,2800.534
2026-03-15 11:00:00,VIC1,3056.151
2026-03-15 11:30:00,VIC1,3240.057
2026-03-15 12:00:00,VIC1,3418.745
2026-03-15 12:30:00,VIC1,3458.601
2026-03-15 13:00:00,VIC1,3380.887
2026-03-15 13:30:00,VIC1,3247.037
2026-03-15 14:00:00,VIC1,3118.411
2026-03-15 14:30:00,VIC1,2901.197
2026-03-15 15:00:00,VIC1,2473.325
2026-03-15 15:30:00,VIC1,1969.165
2026-03-15 16:00:00,VIC1,1434.747
2026-03-15 16:30:00,VIC1,896.466
2026-03-15 17:00:00,VIC1,630.618
2026-03-15 17:30:00,VIC1,416.613
2026-03-15 18:00:00,VIC1,210.821
2026-03-15 18:30:00,VIC1,64.742
2026-03-15 19:00:00,VIC1,0.929
2026-03-15 19:30:00,VIC1,0.0
2026-03-15 20:00:00,VIC1,0.0
2026-03-15 20:30:00,VIC1,0.0
2026-03-15 21:00:00,VIC1,0.0
2026-03-15 21:30:00,VIC1,0.0
2026-03-15 22:00:00,VIC1,0.0
2026-03-15 22:30:00,VIC1,0.0
2026-03-15 23:00:00,VIC1,0.0
2026-03-15 23:30:00,VIC1,0.0
2026-03-16 00:00:00,VIC1,0.0
2026-03-16 00:30:00,VIC1,0.0
2026-03-16 01:00:00,VIC1,0.0
2026-03-16 01:30:00,VIC1,0.0
2026-03-16 02:00:00,VIC1,0.0
2026-03-16 02:30:00,VIC1,0.0
2026-03-16 03:00:00,VIC1,0.0
2026-03-16 03:30:00,VIC1,0.0
2026-03-16 04:00:00,VIC1,0.0
2026-03-16 04:30:00,VIC1,0.0
2026-03-16 05:00:00,VIC1,0.0
2026-03-16 05:30:00,VIC1,0.0
2026-03-16 06:00:00,VIC1,0.0
2026-03-16 06:30:00,VIC1,9.916
2026-03-16 07:00:00,VIC1,60.811
2026-03-16 07:30:00,VIC1,210.026
2026-03-16 08:00:00,VIC1,291.621
2026-03-16 08:30:00,VIC1,406.3
2026-03-16 09:00:00,VIC1,450.875
2026-03-16 09:30:00,VIC1,502.982
2026-03-16 10:00:00,VIC1,579.77
2026-03-16 10:30:00,VIC1,667.174
2026-03-16 11:00:00,VIC1,706.959
2026-03-16 11:30:00,VIC1,742.745
2026-03-16 12:00:00,VIC1,777.104
2026-03-16 12:30:00,VIC1,800.956
2026-03-16 13:00:00,VIC1,817.948
2026-03-16 13:30:00,VIC1,879.117
2026-03-16 14:00:00,VIC1,858.048
2026-03-16 14:30:00,VIC1,804.755
2026-03-16 15:00:00,VIC1,645.801
2026-03-16 15:30:00,VIC1,516.023
2026-03-16 16:00:00,VIC1,394.288
2026-03-16 16:30:00,VIC1,300.858
2026-03-16 17:00:00,VIC1,222.799
2026-03-16 17:30:00,VIC1,170.593
2026-03-16 18:00:00,VIC1,113.742
2026-03-16 18:30:00,VIC1,42.117
2026-03-16 19:00:00,VIC1,0.394
2026-03-16 19:30:00,VIC1,0.0
2026-03-16 20:00:00,VIC1,0.0
2026-03-16 20:30:00,VIC1,0.0
2026-03-16 21:00:00,VIC1,0.0
2026-03-16 21:30:00,VIC1,0.0
2026-03-16 22:00:00,VIC1,0.0
2026-03-16 22:30:00,VIC1,0.0
2026-03-16 23:00:00,VIC1,0.0
2026-03-16 23:30:00,VIC1,0.0
