0,1,2,3,4,5,6,7,8,9
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/17 15:30:00,8891,0,0,2026/03/17 15:30:02
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/17 15:30:00,6411,0,0,2026/03/17 15:30:02
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/17 15:30:00,951,0,0,2026/03/17 15:30:02
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/17 15:30:00,926,0,0,2026/03/17 15:30:02
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/17 15:30:00,4905,0,0,2026/03/17 15:30:02
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/10,04:00:21,0000000507140047,DEMAND,0000000507140047
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/10 04:00:00,6572,0,0,2026/03/10 04:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/10 04:00:00,5754,0,0,2026/03/10 04:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/10 04:00:00,1132,0,0,2026/03/10 04:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/10 04:00:00,944,0,0,2026/03/10 04:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/10 04:00:00,4346,0,0,2026/03/10 04:00:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/10,08:00:20,0000000507165268,DEMAND,0000000507165268
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/10 08:00:00,7844,0,0,2026/03/10 08:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/10 08:00:00,6165,0,0,2026/03/10 08:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/10 08:00:00,1264,0,0,2026/03/10 08:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/10 08:00:00,1085,0,0,2026/03/10 08:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/10 08:00:00,5468,0,0,2026/03/10 08:00:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/19,17:30:20,0000000508661490,DEMAND,0000000508661490
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/19 17:30:00,9181,0,0,2026/03/19 17:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/19 17:30:00,7643,0,0,2026/03/19 17:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/19 17:30:00,1255,0,0,2026/03/19 17:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/19 17:30:00,1045,0,0,2026/03/19 17:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/19 17:30:00,5737,0,0,2026/03/19 17:30:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/10,03:00:19,0000000507134035,DEMAND,0000000507134035
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/10 03:00:00,6529,0,0,2026/03/10 03:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/10 03:00:00,5738,0,0,2026/03/10 03:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/10 03:00:00,1163,0,0,2026/03/10 03:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/10 03:00:00,931,0,0,2026/03/10 03:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/10 03:00:00,4284,0,0,2026/03/10 03:00:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/08,08:30:23,0000000506868333,DEMAND,0000000506868333
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/08 08:30:00,6948,0,0,2026/03/08 08:30:04
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/08 08:30:00,6370,0,0,2026/03/08 08:30:04
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/08 08:30:00,930,0,0,2026/03/08 08:30:04
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/08 08:30:00,949,0,0,2026/03/08 08:30:04
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/08 08:30:00,3854,0,0,2026/03/08 08:30:04
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/09,07:00:18,0000000507006615,DEMAND,0000000507006615
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/09 07:00:00,8199,0,0,2026/03/09 07:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/09 07:00:00,7027,0,0,2026/03/09 07:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/09 07:00:00,1167,0,0,2026/03/09 07:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/09 07:00:00,1003,0,0,2026/03/09 07:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/09 07:00:00,4473,0,0,2026/03/09 07:00:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/15,03:30:18,0000000507923699,DEMAND,0000000507923699
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/15 03:30:00,6069,0,0,2026/03/15 03:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/15 03:30:00,5710,0,0,2026/03/15 03:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/15 03:30:00,1219,0,0,2026/03/15 03:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/15 03:30:00,839,0,0,2026/03/15 03:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/15 03:30:00,4057,0,0,2026/03/15 03:30:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/19,00:00:22,0000000508526443,DEMAND,0000000508526443
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/19 00:00:00,7479,0,0,2026/03/19 00:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/19 00:00:00,6424,0,0,2026/03/19 00:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/19 00:00:00,1382,0,0,2026/03/19 00:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/19 00:00:00,900,0,0,2026/03/19 00:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/19 00:00:00,4900,0,0,2026/03/19 00:00:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/08,14:00:18,0000000506904902,DEMAND,0000000506904902
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/08 14:00:00,6943,0,0,2026/03/08 14:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/08 14:00:00,7062,0,0,2026/03/08 14:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/08 14:00:00,-162,0,0,2026/03/08 14:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/08 14:00:00,771,0,0,2026/03/08 14:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/08 14:00:00,2831,0,0,2026/03/08 14:00:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/18,04:30:20,0000000508393989,DEMAND,0000000508393989
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/18 04:30:00,6953,0,0,2026/03/18 04:30:02
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/18 04:30:00,5904,0,0,2026/03/18 04:30:02
